,Symbol,Series,Date,Prev Close,Open Price,High Price,Low Price,Last Price,Close Price,Average Price,Total Traded Quantity,Turnover,No. of Trades,Deliverable Qty,% Dly Qt to Traded Qty
124,TCS,EQ,05-Sep-2019,2245.4,2242.2,2253.65,2207.3,2215.95,2215.3,2225.26,2055943,4575003143.35,133165,1200345,58.38
238,TCS,EQ,19-Feb-2020,2215.75,2215.75,2230.0,2190.5,2194.1,2196.35,2209.81,1760463,3890285125.4,77338,1061209,60.28
235,TCS,EQ,14-Feb-2020,2191.95,2188.0,2212.0,2171.0,2183.0,2184.2,2190.86,1500115,3286548193.5,117257,662963,44.19
239,TCS,EQ,20-Feb-2020,2196.35,2204.5,2214.4,2151.25,2157.0,2156.8,2189.19,2317278,5072973393.6,121407,1447215,62.45
54,TCS,EQ,24-May-2019,2054.05,2070.0,2070.0,2032.25,2050.0,2048.0,2051.14,2274208,4664725693.15,114179,1255954,55.23
11,TCS,EQ,20-Mar-2019,2022.8,2028.0,2044.8,2000.0,2000.25,2015.05,2025.82,3091165,6262136193.4,161415,1678488,54.3
142,TCS,EQ,03-Oct-2019,2059.95,2070.0,2081.15,2046.15,2056.0,2060.25,2065.47,2317618,4786975229.1,187925,1389047,59.93
203,TCS,EQ,02-Jan-2020,2167.6,2179.95,2179.95,2149.2,2157.0,2157.65,2158.63,2380752,5139156143.05,99242,1204079,50.58
3,TCS,EQ,08-Mar-2019,2013.3,2025.0,2033.0,2010.05,2022.75,2022.7,2023.03,2031071,4108921516.4,116872,971744,47.84
221,TCS,EQ,28-Jan-2020,2169.25,2174.0,2187.8,2152.0,2183.8,2183.75,2169.48,1743024,3781454132.55,79762,906541,52.01
131,TCS,EQ,17-Sep-2019,2150.0,2154.95,2156.55,2105.6,2126.4,2122.65,2123.78,2796530,5939218333.7,121706,1594628,57.02
118,TCS,EQ,27-Aug-2019,2276.3,2270.0,2274.85,2229.0,2241.5,2236.5,2241.51,3432106,7693101227.4,182084,2396488,69.83
166,TCS,EQ,08-Nov-2019,2185.35,2189.6,2189.6,2124.0,2130.0,2129.95,2149.77,2788759,5995204048.1,110953,1620822,58.12
38,TCS,EQ,02-May-2019,2260.35,2255.0,2259.4,2211.1,2214.7,2215.4,2227.88,2457699,5475449034.65,106215,1064368,43.31
189,TCS,EQ,12-Dec-2019,2041.9,2051.1,2083.65,1984.0,2003.0,2020.9,2039.92,7137306,14559533846.75,146550,4452408,62.38
35,TCS,EQ,25-Apr-2019,2183.45,2175.0,2205.0,2168.05,2203.0,2195.0,2189.55,4211526,9221344246.45,108403,2971130,70.55
179,TCS,EQ,28-Nov-2019,2054.3,2067.05,2094.4,2060.0,2075.9,2077.35,2081.33,2924429,6086706922.95,142488,1651510,56.47
162,TCS,EQ,04-Nov-2019,2200.9,2207.0,2229.2,2180.9,2194.1,2193.95,2197.42,2646411,5815285936.9,111662,1206343,45.58
88,TCS,EQ,12-Jul-2019,2102.55,2102.1,2119.75,2093.1,2108.0,2107.6,2108.31,1560725,3290489158.95,94025,759972,48.69
73,TCS,EQ,21-Jun-2019,2277.95,2285.0,2292.5,2242.0,2252.05,2249.85,2255.87,3871804,8734275728.8,141057,2767225,71.47
191,TCS,EQ,16-Dec-2019,2071.25,2096.0,2136.0,2080.3,2130.0,2126.75,2116.76,5574177,11799218410.35,172181,2852266,51.17
157,TCS,EQ,27-Oct-2019,2124.95,2129.0,2129.0,2108.8,2117.65,2115.7,2117.14,224421,475130157.2,13145,76692,34.17
232,TCS,EQ,11-Feb-2020,2161.95,2163.0,2174.8,2147.6,2152.7,2153.4,2157.68,1335820,2882266531.2,76595,606633,45.41
50,TCS,EQ,20-May-2019,2095.45,2125.0,2151.4,2050.0,2148.0,2143.95,2119.5,2625116,5563937035.6,112038,1154403,43.98
97,TCS,EQ,25-Jul-2019,2096.8,2108.9,2135.0,2092.55,2128.25,2127.9,2118.42,2544464,5390236891.2,119553,1320598,51.9
222,TCS,EQ,29-Jan-2020,2183.75,2185.0,2186.95,2150.0,2154.0,2154.6,2164.12,2306761,4992115934.85,88479,1307797,56.69
19,TCS,EQ,01-Apr-2019,2001.65,2010.0,2039.95,2008.25,2034.95,2031.65,2027.91,2095740,4249964902.45,109983,748739,35.73
96,TCS,EQ,24-Jul-2019,2112.45,2110.0,2120.8,2076.5,2097.55,2096.8,2097.5,2413196,5061674805.9,112922,1199779,49.72
39,TCS,EQ,03-May-2019,2215.4,2185.0,2186.05,2125.0,2137.0,2132.0,2153.0,3780886,8140257404.35,188561,1641641,43.42
110,TCS,EQ,14-Aug-2019,2199.45,2181.1,2217.85,2167.4,2205.3,2204.4,2200.61,1945002,4280198913.25,122192,969990,49.87
26,TCS,EQ,10-Apr-2019,2091.5,2083.0,2085.5,2036.0,2043.65,2040.25,2053.91,3313062,6804718227.45,168190,1821699,54.99
28,TCS,EQ,12-Apr-2019,2019.5,2038.0,2039.0,2007.0,2013.05,2014.5,2019.97,3198471,6460808051.55,126989,1040440,32.53
165,TCS,EQ,07-Nov-2019,2188.5,2204.5,2204.5,2175.2,2185.0,2185.35,2186.08,1915598,4187659921.35,97328,1082863,56.53
87,TCS,EQ,11-Jul-2019,2108.2,2128.0,2129.0,2086.05,2101.95,2102.55,2103.2,2400346,5048402094.65,164280,967380,40.3
23,TCS,EQ,05-Apr-2019,2014.5,2028.65,2054.4,2018.8,2051.0,2048.3,2037.19,3152103,6421435439.6,96704,1536645,48.75
63,TCS,EQ,07-Jun-2019,2166.1,2174.0,2189.8,2142.1,2179.8,2181.75,2161.21,2659446,5747611166.65,79783,886597,33.34
